titulo	numero_expediente	tipo_contrato	estado_licitacion	importe_licitacion	valor_estimado_contrato	fecha_limite_presentacion	organo_contratacion	enlace	codigo_cpv	procedimiento_contratacion	forma_presentacion	duracion_contrato	financiacion_ue	fecha_formalizacion	sistema_contratacion	tramitacion	descripcion	pdf	fuente	fecha_proceso	provincia_ejecucion	comunidad_autonoma_ejecucion	topicos_lda	clasificacion	palabras_tecnologicas_detectadas	palabras_descartadas_detectadas
Suministro de hardware, para el sistema de automatización inteligente para las aplicaciones corporativas de Justicia Andalucía	EXPT25-00079	Suministros	Publicada	95119.29	95119.29	2025-07-09	Sociedad Andaluza para el Desarrollo de las Telecomunicaciones, S.A. (SANDETEL)	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=831175	48800000-6 Sistemas y servidores de información	Abierto simplificado	Electrónica	70 días	NotFound	2100-12-31	NotFound	Ordinario	"El suministro hasta la puesta en marcha y soporte de soluciones avanzadas de hardware, software y licencias, que deben dar cabida a la demanda.
Este esfuerzo se enmarca en el Servicio de Sistemas Digitales para la Justicia (SSDJ). Su finalidad es la 
modernización y optimización de los Sistemas de Gestión Procesal (SGP) mediante la adopción de tecnologías avanzadas, incluyendo Inteligencia Artificial (IA) y Automatización de Procesos Robóticos (RPA).."	and_pliego_prescripciones_313008.pdf	Andalucía	2025-07-10	Andalucia	Andalucia	documento, desarrollo, andaluz, copia, sociedad, destinatario, verificacion, tecnico, telecomunicaciones, codigo (1.0)	Tecnológica	software, tecnologia, inteligencia_artificial, virtualizacion, cloud, automatizacion, rpa	reparacion, infraestructura, alimentacion, seguro
Suministro de sistema de climatización en Sala Abovedada del IAPH	CONTR 2025 0000383647	Suministros	Publicada	127006.46	127006.46	2025-06-25	Instituto Andaluz del Patrimonio Histórico	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=829757	42500000-1 Equipos de refrigeración y ventilación	Abierto simplificado	Electrónica	28 meses	NotFound	2100-12-31	NotFound	Ordinario	Suministro, instalación, puesta en marcha, obra auxiliar y mantenimiento preventivo y correctivo del sistema de climatización en Sala Abovedada del Instituto Andaluz del Patrimonio Histórico	and_pliego_prescripciones_304321.pdf	Andalucía	2025-07-10	Sevilla	Andalucia	iaph, suministro, adjudicatario, instalacion, sistema, climatizacion, mantenimiento, sala, equipo, contrato (1.0)	Tecnológica	software, automatizacion	reparacion, infraestructura, bar, alimentacion
OBRAS DE ELIMINACIÓN DE BARRERAS EN EL IES PICACHO, SANLÚCAR DE BARRAMEDA	CONTR 2025 0000398316	Obras	Publicada	289536.65	318490.31	2025-07-07	Agencia Pública Andaluza de Educación	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=830956	45214200-2 Trabajos de construcción de edificios escolares	Abierto simplificado	Electrónica	9 meses	NotFound	2100-12-31	NotFound	Ordinario	OBRAS DE ELIMINACIÓN DE BARRERAS EN EL IES PICACHO, SANLÚCAR DE BARRAMEDA, CÁDIZ.	and_pliego_prescripciones_307898.pdf	Andalucía	2025-07-10	Cadiz	Andalucia	ies, cadiz, picacho, medición, proyecto, descargar, licitacion, supervisado, barrera, incluido (1.0)	N/S		
ESTUDIO INFORMATIVO PARA LA IMPLANTACIÓN DE BRT Y ANTEPROYECTO	CONTR 2025 0000070372	Servicios	Publicada	619775.55	743730.66	2025-09-02	Consejería de Fomento, Articulación del Territorio y Vivienda. Secretaría General Técnica	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=832365	71311000-1 Servicios de consultoría en ingeniería civil	Abierto	Electrónica	36 meses	NotFound	2100-12-31	NotFound	Ordinario	ERVICIOS PARA LA ELABORACIÓN DE UN ESTUDIO INFORMATIVO PARA LA IMPLANTACIÓN DE UN SISTEMA DE TRANSPORTE PÚBLICO DE ALTA CAPACIDAD BRT (BUS RAPID TRANSIT) EN EL ARCO DE LA BAHÍA DE ALGECIRAS (CAMPO DE GIBRALTAR) Y ANTEPROYECTO DE LA ALTERNATIVA ELEGIDA EN	and_pliego_prescripciones_311757.pdf	Andalucía	2025-07-10	Cadiz	Andalucia	estudio, transporte, informativo, consultor, analisis, sistema, trabajo, necesario, contrato, obra (1.0)	Tecnológica	software, tecnologia, nube	obras, rehabilitacion, infraestructura, limpieza, jardineria, alimentacion, mobiliario, obra_civil
00100/ISE/2025/AL- CONTRATACIÓN DEL SERVICIO TRANSPORTE ESCOLAR EN ALMERIA	CONTR 2025 0000392447	Servicios	Publicada	23191.86	27830.23	2025-07-02	Agencia Pública Andaluza de Educación	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=831248	60130000-8 Servicios especiales de transporte de pasajeros por carretera	Abierto simplificado abreviado	Electrónica	3 meses	NotFound	2100-12-31	NotFound	Ordinario	00100/ISE/2025/AL- CONTRATACIÓN DEL SERVICIO TRANSPORTE ESCOLAR EN LOS CENTROS DOCENTES PÚBLICOS DE LA PROVINCIA DE ALMERIA DEPENDIENTES DE LA CONSEJERÍA DE DESARROLLO EDUCATIVO Y FORMACIÓN PROFESIONAL DE LA JUNTA DE ANDALUCÍA CON ORIGEN DE FINANCIACIÓN E	and_pliego_prescripciones_308658.pdf	Andalucía	2025-07-10	Almeria	Andalucia	transporte, servicio, vehiculo, escolar, centro, educacion, contrato, decreto, agencia, adjudicatario (1.0)	Tecnológica	datos	limpieza, desinfeccion, transporte_escolar, seguro, poliza
UPPS- SERVICIO DE GESTION Y DINAMIZACION EN EL EUP. P.I. LA AMATISTA	CONTR 2025 0000268384	Servicios	Publicada	17185.76	34371.52	2025-06-27	Agencia de Medio Ambiente y Agua de Andalucía	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=830604	98390000-3 Otros servicios	Abierto simplificado	Electrónica	2 años	NotFound	2100-12-31	NotFound	Ordinario	UPPS- SERVICIO DE GESTION Y DINAMIZACION EN EL EQUIPAMIENTO DE USO PUBLICO PUNTO DE INFORMACION LA AMATISTA (T.M. NIJAR-ALMERIA)	and_pliego_prescripciones_306914.pdf	Andalucía	2025-07-10	Almeria	Andalucia	agencia, servicio, contratista, equipamiento, contrato, andalucia, medio, contratisto, ambiente, agua (1.0)	Tecnológica	datos	reparacion, infraestructura, limpieza, comida, mobiliario, vestuario, seguro
00099/ISE/2025/AL- CONTRATACIÓN DEL SERVICIO TRANSPORTE ESCOLAR EN ALMERIA	CONTR 2025 0000392445	Servicios	Publicada	21905.82	26286.98	2025-07-02	Agencia Pública Andaluza de Educación	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=831234	60130000-8 Servicios especiales de transporte de pasajeros por carretera	Abierto simplificado abreviado	Electrónica	3 meses	NotFound	2100-12-31	NotFound	Ordinario	00099/ISE/2025/AL- CONTRATACIÓN DEL SERVICIO TRANSPORTE ESCOLAR EN LOS CENTROS DOCENTES PÚBLICOS DE LA PROVINCIA DE ALMERIA DEPENDIENTES DE LA CONSEJERÍA DE DESARROLLO EDUCATIVO Y FORMACIÓN PROFESIONAL DE LA JUNTA DE ANDALUCÍA CON ORIGEN DE FINANCIACIÓN E	and_pliego_prescripciones_308652.pdf	Andalucía	2025-07-10	Almeria	Andalucia	transporte, servicio, vehiculo, escolar, centro, educacion, contrato, decreto, agencia, adjudicatario (1.0)	Tecnológica	datos	limpieza, desinfeccion, transporte_escolar, seguro, poliza
00096/ISE/2025/AL- CONTRATACIÓN DEL SERVICIO TRANSPORTE ESCOLAR EN ALMERIA	CONTR 2025 0000392417	Servicios	Publicada	26049.0	31258.8	2025-07-02	Agencia Pública Andaluza de Educación	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=831246	60130000-8 Servicios especiales de transporte de pasajeros por carretera	Abierto simplificado abreviado	Electrónica	3 meses	NotFound	2100-12-31	NotFound	Ordinario	00096/ISE/2025/AL- CONTRATACIÓN DEL SERVICIO TRANSPORTE ESCOLAR EN LOS CENTROS DOCENTES PÚBLICOS DE LA PROVINCIA DE ALMERIA DEPENDIENTES DE LA CONSEJERÍA DE DESARROLLO EDUCATIVO Y FORMACIÓN PROFESIONAL DE LA JUNTA DE ANDALUCÍA CON ORIGEN DE FINANCIACIÓN E	and_pliego_prescripciones_308637.pdf	Andalucía	2025-07-10	Almeria	Andalucia	transporte, servicio, vehiculo, escolar, centro, educacion, contrato, decreto, agencia, adjudicatario (1.0)	Tecnológica	datos	limpieza, desinfeccion, transporte_escolar, seguro, poliza
SUMINISTRO VESTUARIO SEDE D.T., CPAs Y CPMENORES JRJ. AÑO 2025	CONTR 2025 0000383600	Suministros	Publicada	16454.29	16454.29	2025-07-02	Delegación Territorial de Inclusión Social, Juventud, Familias e Igualdad en Huelva	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=831424	18100000-0 Ropa de trabajo, ropa de trabajo especial y accesorios18800000-7 Calzado	Abierto simplificado abreviado	Electrónica	Ver lotes	NotFound	2100-12-31	NotFound	Ordinario	SUMINISTRO VESTUARIO SEDE D.T., CPAs Y CPMENORES JRJ. AÑO 2025	and_pliego_prescripciones_309013.pdf	Andalucía	2025-07-10	Huelva	Andalucia	color, poliester, tejido, bolsillo, adjudicatario, contrato, delegacion, empresa, territorial, personal (1.0)	No tecnológica		reparacion, infraestructura, vestuario, inclusion_social
Adquisición de la obra de arte denominada Acuchillad+s de Miguel Benlloch	CONTR 2025 0000341973	Suministros	Publicada	25410.0	25410.0	2025-08-04	Centro Andaluz de Arte Contemporáneo	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=832705	92311000-4 Obras de arte	Negociado sin publicidad	Electrónica	30 días	NotFound	2100-12-31	NotFound	Ordinario	Adquisición de la obra de arte denominada Acuchillad+s de Miguel Benlloch	and_pliego_prescripciones_313622.pdf	Andalucía	2025-07-10	Sevilla	Andalucia	bien, obra, derechos, autor, explotacion, tecnico, contrato, arte, administracion, propiedad (1.0)	N/S		
